Code,ZipLow,ZipHigh
AU,2627,2627
AU,2628,2628
AU,2630,2630
AU,2631,2631
AU,2632,2632
AU,2633,2633
AU,2640,2640
AU,2641,2641
AU,2642,2642
AU,2643,2643
AU,2644,2644
AU,2645,2645
AU,2646,2646
AU,2647,2647
AU,2648,2648
AU,2649,2649
AU,2650,2650
AU,2651,2651
AU,2652,2652
AU,2653,2653
AU,2655,2655
AU,2656,2656
AU,2658,2658
AU,2659,2659
AU,2660,2660
AU,2661,2661
AU,2663,2663
AU,2665,2665
AU,2666,2666
AU,2668,2668
AU,2669,2669
AU,2671,2671
AU,2672,2672
AU,2675,2675
AU,2678,2678
AU,2680,2680
AU,2681,2681
AU,2700,2700
AU,2701,2701
AU,2702,2702
AU,2703,2703
AU,2705,2705
AU,2706,2706
AU,2707,2707
AU,2708,2708
AU,2710,2710
AU,2711,2711
AU,2712,2712
AU,2713,2713
AU,2714,2714
AU,2715,2715
AU,2716,2716
AU,2717,2717
AU,2720,2720
AU,2721,2721
AU,2722,2722
AU,2725,2725
AU,2726,2726
AU,2727,2727
AU,2729,2729
AU,2730,2730
AU,2731,2731
AU,2732,2732
AU,2733,2733
AU,2734,2734
AU,2735,2735
AU,2736,2736
AU,2737,2737
AU,2738,2738
AU,2739,2739
AU,2785,2785
AU,2786,2786
AU,2787,2787
AU,2790,2790
AU,2791,2791
AU,2792,2792
AU,2793,2793
AU,2794,2794
AU,2795,2795
AU,2797,2797
AU,2798,2798
AU,2799,2799
AU,2800,2800
AU,2803,2803
AU,2804,2804
AU,2805,2805
AU,2806,2806
AU,2807,2807
AU,2809,2809
AU,2810,2810
AU,2820,2820
AU,2821,2821
AU,2823,2823
AU,2824,2824
AU,2825,2825
AU,2827,2827
AU,2828,2828
AU,2829,2829
AU,2830,2830
AU,2831,2831
AU,2832,2832
AU,2833,2833
AU,2834,2834
AU,2835,2835
AU,2836,2836
AU,2839,2839
AU,2840,2840
AU,2842,2842
AU,2843,2843
AU,2844,2844
AU,2845,2845
AU,2846,2846
AU,2847,2847
AU,2848,2848
AU,2849,2849
AU,2850,2850
